contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes
49,4,30,10,1,41,7,5,-0.970725343,7,12,374,5.372369631,17.9866638
50,4,30,10,3,22,7,3,-0.138675049,5,8,375,17.56860993,36.27506836
52,4,30,8,7,52,7,6,-1.802775638,8,14,376,1.546807384,6.5944399
53,4,30,8,8,87,7,4,-0.693375245,6,10,377,1.793499176,4.715513221
54,4,30,10,2,53,7,2,0.693375245,4,6,378,9.950123273,16.13401119
57,4,30,10,4,5,7,1,0.970725343,1,2,379,19.5786026,24.93093909
45,4,30,9,6,81,8,4,-1.010152545,5,9,380,2.147990293,5.647550198
48,4,30,9,5,102,8,3,-0.101015254,3,6,381,3.128033409,6.458657012
49,4,30,10,1,41,8,3,-0.101015254,3,6,382,10.16371636,20.98569592
50,4,30,10,3,22,8,5,-1.313198308,6,11,383,10.10289094,33.82442298
54,4,30,10,2,53,8,1,1.414213562,1,2,384,16.23322801,20.67101657
57,4,30,10,4,5,8,2,1.111167799,2,4,385,14.44337188,23.41976247
49,4,30,10,1,41,9,1,0.904534034,1,2,386,17.45668416,22.22893729
50,4,30,10,3,22,9,3,-1.507556723,4,7,387,14.74631204,30.44768363
54,4,30,10,2,53,9,1,0.904534034,1,2,388,14.14046412,18.0061395
57,4,30,10,4,5,9,2,-0.301511345,3,5,389,11.18899006,18.14281953
58,5,31,1,16,44,0,10,-1.352833107,15,25,390,0.622518016,6.977846122
59,5,31,3,14,19,0,8,-0.662024712,10,18,391,2.784049488,19.24564725
60,5,31,5,12,97,0,3,0.949861543,3,6,392,18.97376306,39.17638076
61,5,31,5,11,60,0,7,-0.201485782,9,16,393,7.986350591,43.35577918
62,5,31,9,6,107,0,8,-0.662024712,10,18,394,6.029873149,41.68345862
63,5,31,9,5,24,0,4,0.719592078,6,10,395,30.1004151,79.14076977
64,5,31,10,3,112,0,2,1.180131008,2,4,396,71.93502766,116.6418254
65,5,31,4,13,94,0,9,-0.892294177,12,21,397,1.77832941,15.65397832
66,5,31,6,10,51,0,9,-0.892294177,12,21,398,3.635495989,32.00193117
67,5,31,7,9,59,0,5,0.489322613,7,12,399,14.67648526,49.13679147
68,5,31,8,8,38,0,6,0.028783683,8,14,400,7.405909938,31.57330932
69,5,31,10,1,18,0,1,1.870939403,1,2,401,96.79252938,123.2533651
70,5,31,2,15,104,0,9,-0.892294177,12,21,402,2.228420069,19.61596049
71,5,31,8,7,111,0,11,-1.583102572,16,27,403,2.86289191,40.86310476
72,5,31,10,4,98,0,3,0.949861543,3,6,404,48.43133385,99.9993712
73,5,31,10,2,33,0,3,0.949861543,3,6,405,57.0339641,117.7617896
59,5,31,3,14,19,1,10,-2.019956806,15,25,406,1.156153406,12.95940094
60,5,31,5,12,97,1,4,0.166594376,6,10,407,8.69985858,22.87388737
61,5,31,5,11,60,1,8,-1.082863442,13,21,408,3.321458155,22.96065939
62,5,31,9,6,107,1,2,0.791323285,4,6,409,35.38617681,57.37828137
63,5,31,9,5,24,1,3,0.47895883,5,8,410,30.28913108,62.53996786
64,5,31,10,3,112,1,1,1.416052194,1,2,411,72.90711657,92.83823363
65,5,31,4,13,94,1,6,-0.458134533,11,17,412,2.82027048,12.02354241
66,5,31,6,10,51,1,7,-0.770498988,12,19,413,4.103776534,22.27831438
67,5,31,7,9,59,1,5,-0.145770079,9,14,414,10.67733845,35.74767008
68,5,31,8,8,38,1,4,0.166594376,6,10,415,11.24355757,29.56184486
69,5,31,10,1,18,1,1,1.416052194,1,2,416,71.18830351,90.64953689
70,5,31,2,15,104,1,9,-1.395227897,14,23,417,0.637094035,5.608103962
71,5,31,8,7,111,1,5,-0.145770079,9,14,418,15.66565101,52.44851292
72,5,31,10,4,98,1,4,0.166594376,6,10,419,21.74795324,57.18026659
73,5,31,10,2,33,1,1,1.416052194,1,2,420,83.91701688,106.8579857
59,5,31,3,14,19,2,10,-1.450705892,13,23,421,0.46989376,5.267070617
60,5,31,5,12,97,2,6,-0.238175594,9,15,422,3.499657544,14.91994516
61,5,31,5,11,60,2,5,0.06495698,7,12,423,8.274616792,27.70337124
62,5,31,9,6,107,2,7,-0.541308169,10,17,424,4.547046979,24.68471206
63,5,31,9,5,24,2,3,0.671222129,5,8,425,23.66957697,48.87213763
64,5,31,10,3,112,2,1,1.277487278,1,2,426,59.21010516,75.39677654
65,5,31,4,13,94,2,9,-1.147573318,12,21,427,1.077926128,9.488586386
66,5,31,6,10,51,2,8,-0.844440743,11,19,428,2.858002661,19.7568726
67,5,31,7,9,59,2,5,0.06495698,7,12,429,9.129714007,30.56623199
68,5,31,8,8,38,2,2,0.974354704,4,6,430,16.05311869,26.02994853
69,5,31,10,1,18,2,1,1.277487278,1,2,431,52.75858577,67.18156117
71,5,31,8,7,111,2,11,-1.753838467,14,25,432,1.870497143,26.69829079
72,5,31,10,4,98,2,4,0.368089555,6,10,433,16.53596464,43.47677486
73,5,31,10,2,33,2,1,1.277487278,1,2,434,65.40779864,83.28877587
60,5,31,5,12,97,3,3,0.134433214,6,9,435,6.976572207,14.40498905
61,5,31,5,11,60,3,6,-1.030654644,11,17,436,4.20372237,17.9215556
62,5,31,9,6,107,3,6,-1.030654644,11,17,437,4.715760906,20.1045083
63,5,31,9,5,24,3,5,-0.73938268,9,14,438,8.44550116,28.27549116
64,5,31,10,3,112,3,1,1.299521073,1,2,439,46.58884028,59.32515017
65,5,31,4,13,94,3,7,-1.904470539,13,20,440,0.851590976,4.623061548
66,5,31,6,10,51,3,4,-0.15683875,8,12,441,7.594218345,19.96691021
67,5,31,7,9,59,3,2,0.716977144,4,6,442,18.8458315,30.55830044
68,5,31,8,8,38,3,2,0.716977144,4,6,443,13.32704698,21.6096544
69,5,31,10,1,18,3,1,1.299521073,1,2,444,42.62075235,54.2722789
71,5,31,8,7,111,3,5,-0.73938268,9,14,445,9.517337213,31.86399234
72,5,31,10,4,98,3,3,0.134433214,6,9,446,17.63387515,36.40982577
73,5,31,10,2,33,3,1,1.299521073,1,2,447,49.258044,62.72405236
